,WhereToBuy,TestedBatteryLifeHoursMinutes,OperatingSystem,Weight,DimensionsHwd,WirelessNetworking,ScreenRefreshRate,VariableRefreshSupport,PanelTechnology,TouchScreen,NativeDisplayResolution,ScreenSize,BootDriveCapacityAsTested,BootDriveType,RamAsTested,ProcessorSpeed,Processor,LaptopClass,EditorsRating,Name
0,$449.99;at HP;(Opens in a new window),10:19,Windows 11,3.11 lbs,0.67 by 12.8 by 8.53 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,IPS,,"1,920 by 1,080",14 inches,256 GB,SSD,16 GB,,Intel Core i5-1235U,Budget,4.0;Editor Review,HP Pavilion Laptop 14 (2022)
1,$529.99;at Amazon;(Opens in a new window),11:01,Windows 11 Pro,3.6 lbs,0.78 by 14.1 by 9.3 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,IPS,,1920 by 1080,15.6 inches,512 GB,SSD,8 GB,,Intel Core i5-1235U,"Budget, Desktop Replacement",4.0;Editor Review,Lenovo IdeaPad 3i 15 (2022)
2,$506.50;at Amazon;(Opens in a new window);$549.99;at Acer;(Opens in a new window),9:43,Windows 11 Home,3.31 lbs,0.7 by 12.9 by 8.8 inches,"Wi-Fi 6E, Bluetooth 5.2",60 Hz,None,IPS,,"1,920 by 1,080",14 inches,1 TB,SSD,16 GB,,Intel Core i7-1255U,Ultraportable,4.0;Editor Review,Acer Aspire Vero (2022)
3,$641.29;at Amazon;(Opens in a new window);$699.99;at Best Buy;(Opens in a new window),12:35,Windows 11,2.48 lbs,0.62 by 10.95 by 8.12 inches,"802.11ax (Wi-Fi 6), Bluetooth",60 Hz,None,LCD,,1536 by 1024,12.4 inches,256 GB,SSD,8 GB,2.4 GHz,Intel Core i5-1135G7,Budget,4.0;Editor Review,Microsoft Surface Laptop Go 2
4,$529.99;at Lenovo;(Opens in a new window),8:25,Windows 11,2.53 lbs,0.35 by 11.22 by 7.36 inches,Wi-Fi 6E,60 Hz,None,LTPS,,2560 by 1600,12.35 inches,128 GB,SSD,8 GB,,Intel Core i3-1215U,Detachable 2-in-1,Editors' Choice;4.0;Editor Review,Lenovo IdeaPad Windows Duet 5i
5,$379.00;at Lenovo;(Opens in a new window);$379.00;at Best Buy;(Opens in a new window),6:01,Chrome OS,2.09 lbs,10.15 by 6.47 by 0.31 inches,802.11ac,60 Hz,None,IPS,,2000 by 1200,10.95 inches,64 GB,eMMC Flash Memory,4 GB,2.55 GHz,Qualcomm Snapdragon 7c Gen 2,"Chromebook, Detachable 2-in-1",3.5;Editor Review,Lenovo IdeaPad Duet 3 Chromebook
6,$296.99;at Amazon;(Opens in a new window),6:23,Chrome OS,2.5 lbs,0.7 by 10.6 by 8.5 inches,"802.11ac, Bluetooth",60 Hz,None,LCD,,1366 by 912,12 inches,64 GB,eMMC Flash Memory,4 GB,2.2 GHz,MediaTek Kompanio 820,"Convertible 2-in-1, Budget",4.0;Editor Review,Asus Chromebook Flip CM3
7,$898.00;at Amazon;(Opens in a new window);$849.99;at Best Buy;(Opens in a new window),7:04,Windows 11,5.51 lbs,1.06 by 14.1 by 10.67 inches,"802.11ax (Wi-Fi 6), Bluetooth, Ethernet",144 Hz,None,IPS,,1920 by 1080,15.6 inches,512 GB,SSD,16 GB,,Intel Core i5-12500H,Gaming,3.5;Editor Review,Acer Nitro 5 (2022; 15.6-Inch; 12th Gen Core)
8,$649.00;at Amazon;(Opens in a new window);$549.00;at Best Buy;(Opens in a new window),9:41,Google Chrome OS,3.75 lbs,0.84 by 14 by 9.8 inches,"Wi-Fi 6E, Bluetooth 5.2",120 Hz,None,IPS,,2560 by 1600,16 inches,256 GB,SSD,8 GB,,Intel Core i5-1240P,Chromebook,Editors' Choice;4.0;Editor Review,Acer Chromebook 516 GE
